体重/kg,年龄/岁,身高/cm,尺寸
54.0,22.0,165.1,S
54.0,44.0,162.56,S
58.0,31.0,162.56,M
52.0,31.0,162.56,S
56.0,31.0,157.48,M
56.0,31.0,157.48,M
69.0,36.0,167.48,XL
54.0,52.0,160.02,S
58.0,30.0,157.48,M
56.0,30.0,160.02,M
64.0,28.0,167.64,L
55.0,37.0,162.8,S
58.0,32.0,170.18,M
52.0,29.0,162.56,S
61.0,35.0,170.18,M
54.0,36.0,165.1,S
71.0,22.0,170.18,XL
71.0,29.0,172.72,L
56.0,21.0,165.1,M
58.0,32.0,165.1,M
64.0,36.0,162.56,L
57.0,58.0,157.48,M
57.0,30.0,170.18,M
58.0,33.0,154.94,L
61.0,34.0,175.26,M
72.0,27.0,172.72,XL
56.0,37.0,165.1,M
69.0,29.0,167.48,XL
61.0,32.0,167.64,M
65.0,24.0,160.02,XL
63.0,32.0,170.18,M
72.0,29.0,167.64,XL
56.0,29.0,157.48,M
78.0,29.0,175.26,XL
76.0,23.0,170.18,XL
75.0,51.0,177.8,XL
53.0,35.0,167.64,S
62.0,27.0,157.48,L
70.0,26.0,165.1,L
63.0,29.0,170.18,M
59.0,23.0,175.26,M
80.0,32.0,180.34,XL
67.0,29.0,160.02,L
62.0,35.0,167.64,L
68.0,31.0,167.64,XL
72.0,51.0,172.72,XL
69.0,49.0,170.18,L
66.0,43.0,175.26,L
46.0,27.0,154.94,S
53.0,35.0,167.64,S
69.0,33.0,170.18,L
70.0,52.0,160.02,XL
58.0,26.0,167.64,M
67.0,36.0,164.94,XL
61.0,29.0,165.1,M
57.0,33.0,170.18,M
52.0,22.0,165.1,S
61.0,20.0,170.18,M
54.0,29.0,160.02,S
69.0,33.0,167.64,L
65.0,29.0,162.56,XL
73.0,29.0,167.64,XL
56.0,36.0,170.18,M
54.0,27.0,157.48,M
57.0,40.0,170.18,M
68.0,35.0,170.18,L
77.0,39.0,167.64,XL
61.0,36.0,167.64,M
74.0,57.0,170.18,XL
48.0,32.0,157.48,S
52.0,32.0,162.56,S
57.0,35.0,162.56,M
52.0,33.0,157.48,S
54.0,39.0,157.48,M
52.0,28.0,160.02,M
64.0,25.0,167.64,L
56.0,45.0,157.48,M
47.0,40.0,160.02,S
67.0,31.0,172.72,XL
58.0,40.0,170.18,M
73.0,37.0,167.64,XL
73.0,36.0,167.64,XL
61.0,48.0,172.72,M
56.0,23.0,157.48,M
58.0,22.0,165.1,M
67.0,25.0,170.18,L
65.0,32.0,162.56,L
52.0,33.0,162.56,M
51.0,41.0,167.64,S
54.0,31.0,167.64,S
47.0,31.0,162.56,S
54.0,31.0,162.56,S
68.0,33.0,167.64,XL
56.0,32.0,170.18,M
65.0,29.0,160.02,XL
54.0,38.0,154.94,M
54.0,30.0,170.18,M
74.0,32.0,172.72,XL
50.0,35.0,157.48,M
58.0,30.0,162.56,M
69.0,35.0,170.18,XL
61.0,32.0,165.1,M
53.0,28.0,160.02,M
52.0,32.0,162.56,M
76.0,31.0,170.18,XL
54.0,28.0,157.48,M
71.0,29.0,170.18,XL
63.0,29.0,170.18,M
67.0,33.0,167.64,L
69.0,34.0,177.8,XL
58.0,42.0,175.26,M
58.0,32.0,157.48,M
71.0,34.0,170.18,L
54.0,32.0,167.64,S
54.0,24.0,170.18,S
70.0,27.0,167.64,XL
71.0,33.0,172.72,XL
58.0,35.0,167.64,M
71.0,32.0,170.18,L
57.0,30.0,165.1,M
76.0,36.0,177.8,XL
68.0,31.0,165.1,XL
64.0,18.0,167.64,L
56.0,29.0,160.02,M
51.0,23.0,156.94,M
50.0,34.0,165.1,S
64.0,24.0,170.18,L
52.0,31.0,160.02,S
52.0,34.0,167.64,S
58.0,31.0,162.56,M
77.0,35.0,167.64,XL
56.0,54.0,160.02,M
67.0,33.0,167.64,L
63.0,28.0,175.26,M
55.0,34.0,162.8,S
65.0,48.0,154.94,L
49.0,34.0,162.56,S
50.0,42.0,151.86,M
65.0,44.0,160.02,XL
60.0,32.0,167.64,M
70.0,54.0,170.18,XL
56.0,31.0,160.02,M
73.0,30.0,170.18,XL
69.0,33.0,170.18,L
58.0,48.0,167.64,M
43.0,58.0,154.94,S
75.0,33.0,170.18,XL
79.0,32.0,172.72,XL
56.0,37.0,165.1,M
78.0,40.0,175.26,XL
52.0,26.0,167.64,S
71.0,32.0,170.18,XL
61.0,29.0,177.8,M
54.0,22.0,160.02,S
54.0,38.0,165.1,M
76.0,50.0,177.8,L
78.0,34.0,177.8,L
53.0,30.0,160.02,S
45.0,30.0,152.4,S
63.0,27.0,160.02,L
70.0,37.0,167.64,XL
58.0,25.0,167.64,M
49.0,32.0,160.02,S
51.0,60.0,162.4,S
73.0,35.0,170.18,XL
75.0,32.0,167.64,XL
73.0,29.0,182.88,XL
71.0,48.0,165.1,XL
75.0,40.0,167.64,XL
53.0,31.0,170.26,S
54.0,34.0,165.1,M
67.0,31.0,162.56,L
55.0,65.0,170.18,M
53.0,28.0,157.48,S
63.0,36.0,172.72,M
62.0,26.0,172.72,M
58.0,31.0,170.18,M
62.0,31.0,170.18,M
74.0,26.0,175.26,L
63.0,28.0,167.64,M
62.0,30.0,160.02,L
59.0,43.0,162.56,M
58.0,35.0,157.48,M
54.0,30.0,170.18,S
61.0,29.0,167.64,M
79.0,33.0,177.8,XL
80.0,24.0,177.8,XL
62.0,34.0,175.26,M
50.0,35.0,152.4,M
52.0,34.0,160.02,S
54.0,32.0,157.48,M
74.0,32.0,167.64,XL
50.0,39.0,160.02,S
58.0,30.0,175.26,M
52.0,44.0,157.48,S
51.0,42.0,170.18,S
54.0,40.0,170.18,S
61.0,27.0,177.8,M
52.0,55.0,157.48,M
74.0,30.0,170.18,L
58.0,26.0,157.48,M
61.0,36.0,157.48,L
54.0,30.0,160.02,S
67.0,30.0,177.8,L
70.0,36.0,170.18,XL
64.0,40.0,167.64,L
52.0,33.0,165.1,S
70.0,34.0,172.72,L
58.0,34.0,170.18,M
75.0,33.0,172.72,XL
56.0,21.0,167.64,M
56.0,34.0,172.72,M
52.0,28.0,162.4,S
58.0,23.0,175.26,M
69.0,57.0,167.64,XL
59.0,54.0,154.94,L
55.0,27.0,167.64,M
73.0,30.0,177.8,XL
60.0,25.0,162.56,M
67.0,26.0,175.26,L
73.0,31.0,167.64,XL
54.0,34.0,162.56,S
62.0,34.0,160.02,L
69.0,32.0,162.56,L
76.0,34.0,175.26,XL
82.0,24.0,180.34,XL
76.0,35.0,170.18,XL
73.0,30.0,167.48,XL
68.0,48.0,167.64,XL
50.0,38.0,154.4,M
52.0,23.0,160.02,S
58.0,33.0,157.48,M
73.0,46.0,167.48,XL
71.0,52.0,182.88,XL
65.0,38.0,177.8,M
73.0,28.0,170.18,XL
52.0,26.0,167.64,S
52.0,30.0,160.02,S
72.0,31.0,170.18,XL
71.0,35.0,167.64,L
66.0,63.0,170.18,XL
52.0,55.0,157.48,M
52.0,31.0,162.56,S
53.0,29.0,157.48,S
58.0,23.0,170.18,M
58.0,32.0,160.02,M
75.0,29.0,172.72,XL
67.0,50.0,167.64,L
54.0,49.0,170.18,M
70.0,35.0,167.64,XL
58.0,39.0,175.26,M
68.0,30.0,167.64,L
51.0,45.0,160.02,S
61.0,24.0,167.64,M
56.0,37.0,160.02,M
53.0,41.0,165.1,S
61.0,35.0,170.18,M
63.0,45.0,170.18,M
56.0,29.0,162.56,M
71.0,33.0,170.18,L
49.0,34.0,162.56,S
55.0,39.0,167.64,M
54.0,32.0,160.02,S
65.0,28.0,162.56,XL
76.0,29.0,160.02,XL
56.0,29.0,162.56,M
47.0,33.0,157.48,S
58.0,35.0,167.64,M
70.0,41.0,162.56,L
72.0,33.0,167.64,XL
54.0,33.0,167.64,S
73.0,29.0,175.26,XL
59.0,29.0,160.02,M
74.0,29.0,170.18,L
61.0,31.0,170.18,M
80.0,40.0,175.26,XL
56.0,28.0,162.56,M
52.0,29.0,162.56,S
68.0,52.0,167.64,XL
69.0,33.0,172.72,XL
65.0,37.0,170.18,M
76.0,35.0,177.8,XL
51.0,34.0,162.02,M
56.0,31.0,160.02,M
71.0,33.0,177.8,L
58.0,30.0,167.64,M
76.0,31.0,177.8,XL
71.0,29.0,177.8,L
65.0,33.0,170.18,M
54.0,33.0,167.64,M
55.0,34.0,160.02,M
61.0,31.0,162.56,M
56.0,32.0,157.48,M
54.0,34.0,167.64,M
69.0,33.0,170.18,XL
63.0,32.0,170.18,M
53.0,47.0,160.02,M
54.0,49.0,170.18,M
49.0,30.0,162.56,S
52.0,28.0,170.18,S
74.0,36.0,175.26,L
69.0,30.0,165.1,L
67.0,47.0,167.64,L
57.0,31.0,162.56,M
77.0,42.0,167.64,XL
71.0,29.0,167.64,L
58.0,33.0,160.02,M
58.0,34.0,165.1,M
79.0,30.0,167.48,XL
52.0,40.0,172.72,S
61.0,29.0,170.34,M
50.0,30.0,160.02,M
58.0,30.0,165.1,M
67.0,54.0,162.56,L
61.0,34.0,177.8,M
47.0,25.0,154.94,S
69.0,36.0,177.8,L
56.0,32.0,162.56,M
79.0,29.0,170.18,XL
54.0,30.0,160.02,S
64.0,39.0,167.64,L
73.0,31.0,172.72,XL
58.0,32.0,165.1,M
68.0,30.0,165.1,XL
71.0,30.0,165.1,L
53.0,18.0,170.18,S
70.0,39.0,165.1,L
72.0,40.0,167.64,XL
56.0,28.0,154.94,M
73.0,36.0,167.48,XL
54.0,50.0,160.02,M
73.0,53.0,175.26,L
51.0,27.0,159.48,M
62.0,30.0,160.02,L
63.0,24.0,170.18,M
54.0,33.0,170.18,M
60.0,33.0,175.26,M
47.0,40.0,147.32,S
62.0,33.0,152.4,L
61.0,25.0,162.56,M
54.0,29.0,160.02,S
66.0,37.0,167.64,L
59.0,30.0,165.1,M
65.0,27.0,162.56,XL
58.0,28.0,157.48,M
63.0,30.0,170.34,M
72.0,30.0,167.64,XL
62.0,40.0,162.56,M
74.0,37.0,170.18,L
67.0,21.0,160.02,L
59.0,28.0,154.94,L
49.0,33.0,154.94,S
72.0,37.0,167.64,XL
56.0,31.0,167.64,M
54.0,30.0,162.56,S
68.0,35.0,165.1,L
56.0,34.0,152.4,L
64.0,28.0,167.64,L
63.0,31.0,170.18,M
61.0,35.0,165.1,M
54.0,29.0,160.02,S
68.0,33.0,165.1,L
47.0,27.0,154.94,S
63.0,24.0,170.18,M
54.0,34.0,164.94,S
52.0,48.0,162.56,S
54.0,31.0,165.1,S
67.0,29.0,170.18,L
54.0,31.0,167.48,S
54.0,30.0,152.4,M
56.0,29.0,162.56,M
69.0,24.0,170.18,L
57.0,53.0,162.56,M
76.0,37.0,185.42,XL
67.0,30.0,162.56,L
63.0,34.0,170.18,M
72.0,27.0,167.64,L
71.0,29.0,170.18,L
52.0,53.0,165.1,M
73.0,31.0,170.18,XL
58.0,32.0,172.72,M
69.0,31.0,172.72,L
51.0,47.0,164.56,M
58.0,35.0,167.64,M
58.0,35.0,162.56,M
56.0,27.0,172.72,M
52.0,31.0,160.02,S
78.0,32.0,180.34,XL
65.0,26.0,162.56,XL
52.0,47.0,160.02,S
66.0,28.0,162.56,L
54.0,41.0,162.56,M
51.0,28.0,154.94,S
52.0,27.0,165.1,S
52.0,23.0,167.64,S
52.0,55.0,160.02,S
70.0,31.0,167.64,XL
67.0,37.0,167.64,L
49.0,26.0,160.02,S
53.0,34.0,160.02,S
67.0,34.0,175.26,L
54.0,31.0,165.1,S
76.0,30.0,170.18,XL
51.0,31.0,164.56,M
52.0,38.0,160.02,M
61.0,24.0,165.1,M
62.0,47.0,167.64,M
54.0,41.0,160.02,M
65.0,35.0,162.56,L
71.0,43.0,172.72,L
58.0,37.0,170.18,M
76.0,45.0,167.64,XL
68.0,26.0,167.64,XL
78.0,29.0,172.72,XL
64.0,37.0,172.72,L
56.0,38.0,167.64,M
74.0,25.0,165.1,XL
61.0,24.0,162.56,M
47.0,27.0,154.94,S
54.0,24.0,160.02,S
52.0,20.0,172.72,S
52.0,33.0,157.48,S
51.0,25.0,164.56,M
58.0,28.0,172.72,M
57.0,29.0,167.64,M
75.0,33.0,177.8,XL
67.0,32.0,170.18,L
69.0,31.0,167.64,L
71.0,28.0,172.72,XL
45.0,27.0,157.48,S
74.0,30.0,170.18,L
77.0,32.0,167.48,XL
52.0,28.0,160.02,M
68.0,49.0,162.56,XL
50.0,33.0,152.4,S
54.0,26.0,152.4,M
52.0,32.0,165.1,S
72.0,39.0,167.64,XL
67.0,35.0,170.18,L
53.0,27.0,160.02,S
67.0,27.0,167.64,L
59.0,39.0,154.94,L
61.0,28.0,157.48,L
54.0,44.0,162.56,M
49.0,39.0,154.94,S
54.0,25.0,157.48,M
74.0,31.0,172.72,XL
54.0,36.0,165.1,M
75.0,38.0,167.64,XL
65.0,28.0,162.56,XL
52.0,32.0,165.1,S
52.0,34.0,162.56,M
63.0,41.0,165.1,M
67.0,32.0,172.72,L
65.0,33.0,154.94,L
72.0,32.0,170.18,XL
56.0,30.0,162.56,M
54.0,32.0,162.56,M
80.0,33.0,167.48,XL
47.0,38.0,154.94,S
56.0,23.0,157.48,M
52.0,35.0,160.02,S
51.0,29.0,154.94,M
67.0,39.0,162.56,L
54.0,28.0,160.02,S
56.0,34.0,162.56,M
73.0,27.0,167.64,XL
69.0,25.0,165.1,L
67.0,30.0,160.02,L
73.0,26.0,172.72,XL
87.0,28.0,167.48,XL
56.0,23.0,157.48,M
58.0,26.0,165.1,M
54.0,32.0,162.56,S
59.0,43.0,170.18,M
59.0,47.0,165.1,M
61.0,26.0,162.56,M
68.0,25.0,175.26,L
61.0,37.0,172.72,M
75.0,26.0,167.64,XL
63.0,26.0,157.48,L
63.0,30.0,170.18,M
61.0,31.0,160.02,M
65.0,29.0,170.34,M
56.0,52.0,170.18,M
75.0,33.0,160.02,XL
71.0,36.0,170.18,XL
71.0,39.0,167.48,XL
65.0,28.0,175.26,M
58.0,28.0,165.1,M
63.0,31.0,177.8,M
76.0,32.0,177.8,XL
52.0,28.0,165.1,M
71.0,31.0,177.8,XL
53.0,30.0,160.02,M
50.0,39.0,160.02,S
70.0,50.0,170.18,XL
70.0,30.0,162.56,XL
71.0,36.0,172.72,L
54.0,35.0,162.56,S
54.0,42.0,167.48,S
54.0,27.0,165.1,S
58.0,19.0,170.18,M
61.0,38.0,165.1,M
76.0,32.0,175.26,XL
65.0,31.0,175.26,M
49.0,38.0,165.1,S
54.0,35.0,162.56,M
44.0,48.0,154.94,S
53.0,29.0,160.02,M
53.0,20.0,157.48,M
56.0,54.0,170.18,M
72.0,30.0,167.64,L
69.0,30.0,172.72,L
71.0,49.0,170.18,XL
54.0,26.0,170.18,S
69.0,20.0,175.26,L
52.0,36.0,162.56,S
58.0,34.0,160.02,M
61.0,25.0,162.56,M
77.0,52.0,160.02,XL
76.0,49.0,180.34,XL
53.0,36.0,160.02,S
68.0,32.0,167.64,XL
52.0,28.0,160.02,S
52.0,29.0,170.18,S
63.0,34.0,165.1,M
58.0,33.0,160.02,M
63.0,28.0,160.02,L
73.0,32.0,175.26,XL
71.0,32.0,170.18,XL
49.0,63.0,154.94,S
61.0,36.0,167.64,M
51.0,34.0,157.48,S
58.0,26.0,170.18,M
72.0,24.0,165.1,XL
72.0,34.0,175.26,L
70.0,36.0,170.18,XL
60.0,30.0,160.02,M
64.0,32.0,170.18,L
76.0,30.0,172.72,XL
48.0,45.0,162.56,S
80.0,29.0,175.26,XL
54.0,38.0,167.48,S
65.0,29.0,167.64,M
53.0,35.0,162.56,M
54.0,39.0,162.56,S
53.0,29.0,170.26,S
56.0,32.0,172.72,M
54.0,43.0,162.56,S
74.0,36.0,177.8,L
61.0,45.0,172.72,M
56.0,33.0,162.56,M
60.0,30.0,172.72,M
69.0,35.0,167.64,L
58.0,28.0,165.1,M
71.0,35.0,167.64,L
80.0,27.0,177.8,XL
56.0,37.0,162.56,M
70.0,45.0,170.18,XL
56.0,34.0,154.94,M
72.0,48.0,172.72,XL
52.0,32.0,165.1,S
77.0,31.0,172.72,XL
58.0,35.0,162.56,M
65.0,28.0,160.02,L
61.0,27.0,165.1,M
58.0,31.0,170.18,M
56.0,26.0,165.1,M
61.0,30.0,162.56,M
69.0,27.0,175.26,L
54.0,35.0,165.1,M
73.0,21.0,170.18,XL
72.0,44.0,167.64,XL
67.0,33.0,162.56,L
53.0,20.0,165.1,S
56.0,63.0,165.1,M
65.0,27.0,175.26,M
72.0,58.0,170.18,XL
47.0,31.0,154.94,S
68.0,31.0,167.64,L
54.0,19.0,165.1,S
58.0,18.0,172.72,M
60.0,42.0,170.18,M
51.0,34.0,157.48,S
59.0,42.0,162.56,M
53.0,45.0,162.56,S
56.0,39.0,167.64,M
52.0,45.0,152.4,M
70.0,42.0,177.8,L
71.0,64.0,170.18,L
82.0,24.0,182.88,XL
54.0,36.0,165.1,S
71.0,51.0,172.72,XL
70.0,37.0,170.18,XL
73.0,29.0,167.48,XL
58.0,35.0,172.72,M
56.0,28.0,162.56,M
54.0,29.0,162.56,S
52.0,24.0,157.48,M
65.0,34.0,164.94,XL
58.0,31.0,162.56,M
64.0,26.0,170.18,L
56.0,31.0,154.94,M
71.0,33.0,170.18,L
62.0,47.0,175.26,L
54.0,26.0,162.56,M
56.0,34.0,170.18,M
70.0,34.0,162.56,XL
61.0,36.0,177.8,M
73.0,32.0,182.88,XL
80.0,29.0,185.42,XL
64.0,37.0,170.18,L
68.0,38.0,165.1,XL
54.0,26.0,162.56,M
53.0,44.0,165.1,M
56.0,35.0,162.56,M
73.0,30.0,170.18,XL
56.0,27.0,167.64,M
53.0,35.0,165.1,M
53.0,39.0,162.56,S
76.0,36.0,170.18,XL
69.0,33.0,172.72,L
58.0,31.0,160.02,M
67.0,28.0,167.64,L
65.0,26.0,177.8,M
56.0,32.0,167.64,M
65.0,36.0,160.02,XL
68.0,63.0,167.48,XL
73.0,43.0,180.34,XL
53.0,48.0,164.94,S
73.0,58.0,172.72,XL
67.0,33.0,177.8,L
54.0,28.0,162.56,S
52.0,38.0,167.64,S
56.0,27.0,160.02,M
52.0,31.0,157.48,M
54.0,25.0,167.64,S
69.0,25.0,177.8,L
76.0,26.0,170.18,XL
76.0,44.0,170.18,XL
62.0,27.0,162.56,M
49.0,33.0,152.4,S
52.0,34.0,157.48,S
58.0,29.0,165.1,M
54.0,29.0,157.48,M
58.0,33.0,167.64,M
82.0,27.0,182.88,XL
56.0,31.0,160.02,M
52.0,23.0,172.72,S
76.0,31.0,170.18,XL
56.0,35.0,160.02,M
78.0,30.0,172.72,XL
52.0,34.0,154.94,S
65.0,37.0,167.64,L
68.0,23.0,165.1,XL
58.0,34.0,162.56,M
65.0,38.0,160.02,L
49.0,28.0,172.72,S
72.0,37.0,172.72,XL
52.0,23.0,160.02,S
54.0,33.0,162.56,S
64.0,32.0,167.64,L
76.0,40.0,175.26,XL
43.0,26.0,154.94,S
68.0,31.0,160.02,XL
58.0,34.0,175.26,M
63.0,28.0,172.72,M
44.0,31.0,160.02,S
52.0,55.0,165.1,M
50.0,55.0,160.02,M
49.0,32.0,157.48,S
49.0,28.0,154.94,S
70.0,24.0,160.02,L
47.0,32.0,160.02,S
47.0,41.0,157.48,S
52.0,27.0,157.48,S
50.0,31.0,157.48,S
75.0,29.0,172.72,XL
53.0,56.0,157.48,S
54.0,27.0,162.56,M
65.0,35.0,170.18,L
69.0,33.0,162.56,L
71.0,48.0,164.94,XL
80.0,35.0,175.26,XL
47.0,37.0,162.56,S
70.0,34.0,167.64,XL
71.0,34.0,172.72,XL
70.0,34.0,165.1,L
76.0,34.0,170.18,XL
58.0,26.0,170.18,M
65.0,32.0,172.88,M
55.0,35.0,167.64,M
72.0,55.0,175.26,XL
52.0,31.0,165.1,S
71.0,20.0,165.1,L
52.0,31.0,162.56,S
52.0,55.0,154.94,S
64.0,40.0,170.18,L
61.0,31.0,172.72,M
58.0,28.0,167.64,M
58.0,42.0,165.1,M
54.0,25.0,162.56,S
49.0,29.0,157.48,S
65.0,21.0,170.34,M
66.0,26.0,165.1,L
56.0,57.0,162.56,M
56.0,26.0,157.48,M
54.0,27.0,170.18,M
52.0,55.0,160.02,S
68.0,24.0,157.48,L
54.0,26.0,165.1,S
69.0,30.0,172.72,L
69.0,27.0,162.56,L
54.0,30.0,172.72,S
61.0,39.0,177.8,M
66.0,40.0,165.1,XL
69.0,32.0,165.1,L
75.0,48.0,167.64,XL
61.0,31.0,160.02,M
54.0,31.0,167.64,S
75.0,48.0,167.64,XL
52.0,25.0,160.02,S
70.0,31.0,175.26,XL
56.0,25.0,167.64,M
53.0,29.0,165.34,S
69.0,34.0,172.72,XL
58.0,28.0,175.26,M
64.0,34.0,170.18,L
54.0,32.0,170.18,M
72.0,35.0,170.18,XL
61.0,28.0,162.56,M
50.0,29.0,154.94,S
70.0,30.0,167.64,XL
54.0,28.0,162.56,M
58.0,27.0,167.64,M
52.0,29.0,157.48,M
54.0,21.0,164.94,S
53.0,26.0,162.56,M
58.0,27.0,170.18,M
74.0,34.0,172.72,L
72.0,53.0,172.72,XL
76.0,29.0,172.72,XL
74.0,28.0,177.8,L
74.0,36.0,175.26,XL
55.0,36.0,162.8,S
67.0,28.0,172.72,L
69.0,35.0,172.72,XL
56.0,43.0,162.56,M
69.0,22.0,167.64,XL
61.0,33.0,162.56,M
49.0,44.0,157.48,S
54.0,35.0,167.64,M
58.0,33.0,167.64,M
71.0,51.0,170.18,XL
62.0,35.0,167.64,M
58.0,32.0,157.48,M
71.0,36.0,172.72,XL
73.0,33.0,170.18,XL
70.0,40.0,170.18,L
52.0,30.0,165.1,S
69.0,30.0,172.72,L
56.0,33.0,172.72,M
61.0,40.0,165.1,M
59.0,35.0,160.02,M
45.0,35.0,157.48,S
63.0,46.0,160.02,XL
58.0,45.0,160.02,M
65.0,57.0,162.56,XL
61.0,37.0,170.18,M
70.0,33.0,170.18,L
51.0,32.0,154.94,S
63.0,30.0,160.02,XL
76.0,45.0,172.72,L
71.0,44.0,177.8,L
56.0,36.0,157.48,M
61.0,26.0,165.1,M
68.0,36.0,170.18,XL
58.0,47.0,157.48,M
68.0,32.0,160.02,L
71.0,32.0,172.72,XL
67.0,31.0,167.64,L
60.0,41.0,154.94,L
58.0,33.0,165.1,M
54.0,43.0,172.72,S
56.0,31.0,165.1,M
60.0,36.0,172.72,M
58.0,43.0,162.56,M
68.0,30.0,160.02,XL
64.0,28.0,172.72,L
61.0,29.0,170.18,M
52.0,31.0,157.48,S
63.0,46.0,162.4,XL
54.0,36.0,165.1,S
54.0,40.0,167.64,M
54.0,22.0,165.1,S
54.0,32.0,164.94,S
56.0,33.0,162.56,M
52.0,21.0,162.56,S
54.0,36.0,160.02,M
50.0,39.0,162.56,S
58.0,29.0,160.02,M
76.0,28.0,170.18,XL
76.0,38.0,170.18,XL
68.0,22.0,165.1,XL
49.0,37.0,157.48,S
61.0,30.0,154.94,L
56.0,30.0,162.56,M
69.0,61.0,167.64,L
63.0,42.0,170.18,M
57.0,26.0,165.1,M
71.0,48.0,170.18,XL
58.0,32.0,157.48,M
69.0,40.0,175.26,L
67.0,31.0,167.64,L
62.0,35.0,165.1,M
54.0,29.0,154.94,M
56.0,29.0,157.48,M
58.0,30.0,160.02,M
71.0,33.0,170.18,L
71.0,35.0,172.72,L
45.0,38.0,160.02,S
67.0,32.0,175.26,L
58.0,29.0,165.1,M
56.0,36.0,167.64,M
77.0,34.0,167.64,XL
61.0,29.0,165.1,M
56.0,35.0,170.18,M
61.0,25.0,175.26,M
56.0,28.0,170.18,M
54.0,34.0,162.56,S
54.0,26.0,160.02,M
61.0,31.0,167.64,M
52.0,38.0,167.64,S
69.0,42.0,170.18,XL
63.0,42.0,160.02,XL
79.0,38.0,172.72,XL
69.0,26.0,170.18,L
54.0,32.0,167.64,M
71.0,34.0,167.48,XL
56.0,41.0,167.64,M
67.0,40.0,160.02,L
69.0,49.0,167.48,XL
47.0,25.0,157.48,S
74.0,34.0,172.72,XL
71.0,42.0,167.64,XL
51.0,41.0,160.02,S
74.0,21.0,170.18,XL
57.0,46.0,165.1,M
64.0,40.0,167.64,L
58.0,35.0,165.1,M
64.0,40.0,165.1,M
54.0,30.0,154.94,M
64.0,39.0,167.64,L
69.0,33.0,165.1,L
67.0,33.0,177.8,L
50.0,33.0,157.48,S
74.0,31.0,167.64,XL
61.0,29.0,167.64,M
54.0,28.0,170.18,S
48.0,23.0,165.1,S
56.0,32.0,170.18,M
56.0,34.0,167.64,M
53.0,25.0,160.02,S
52.0,23.0,162.4,S
52.0,29.0,160.02,S
56.0,35.0,172.72,M
58.0,30.0,170.18,M
51.0,28.0,157.48,S
65.0,27.0,175.26,M
76.0,31.0,175.26,XL
53.0,39.0,162.56,M
58.0,41.0,165.1,M
69.0,33.0,170.18,L
45.0,49.0,154.94,S
46.0,48.0,152.4,S
67.0,33.0,172.72,L
58.0,32.0,167.64,M
52.0,47.0,157.48,S
73.0,26.0,172.72,XL
49.0,28.0,157.48,S
74.0,29.0,170.18,L
62.0,33.0,167.64,L
67.0,27.0,172.72,L
69.0,28.0,162.56,L
54.0,56.0,162.56,M
49.0,27.0,157.48,S
73.0,37.0,170.18,XL
63.0,47.0,162.56,M
68.0,28.0,165.1,L
62.0,57.0,162.56,M
60.0,42.0,162.56,M
58.0,45.0,170.18,M
68.0,28.0,162.56,XL
71.0,28.0,177.8,XL
61.0,27.0,162.56,M
56.0,31.0,157.48,M
69.0,28.0,162.56,L
54.0,38.0,170.18,M
63.0,40.0,172.72,M
57.0,40.0,170.18,M
58.0,28.0,162.56,M
66.0,34.0,170.18,XL
56.0,31.0,165.1,M
68.0,35.0,160.02,L
58.0,29.0,175.26,M
69.0,32.0,170.18,L
56.0,31.0,154.94,M
70.0,38.0,167.64,XL
68.0,35.0,170.18,XL
58.0,31.0,160.02,M
74.0,32.0,175.26,L
62.0,26.0,172.72,M
54.0,29.0,160.02,S
61.0,34.0,157.48,L
67.0,37.0,172.72,L
58.0,27.0,160.02,M
68.0,34.0,162.56,XL
56.0,25.0,157.48,M
64.0,44.0,175.26,L
53.0,40.0,162.56,M
61.0,26.0,162.56,M
82.0,27.0,182.88,XL
77.0,27.0,172.72,XL
69.0,37.0,167.64,L
67.0,30.0,177.8,L
68.0,29.0,162.56,L
58.0,39.0,167.64,M
65.0,35.0,162.56,XL
69.0,33.0,172.72,L
54.0,54.0,170.18,M
61.0,24.0,160.02,M
69.0,29.0,162.56,L
73.0,30.0,170.18,XL
61.0,30.0,170.18,M
71.0,23.0,160.02,L
54.0,20.0,160.02,S
67.0,30.0,160.02,L
71.0,37.0,167.64,XL
56.0,30.0,162.56,M
53.0,41.0,165.1,S
65.0,31.0,162.56,XL
56.0,31.0,160.02,M
50.0,31.0,154.94,S
49.0,27.0,167.64,S
62.0,41.0,172.72,M
69.0,29.0,172.72,L
63.0,41.0,170.18,M
61.0,26.0,162.56,M
58.0,45.0,170.18,M
61.0,26.0,162.56,M
70.0,42.0,170.18,XL
60.0,31.0,160.02,M
72.0,25.0,175.26,XL
73.0,21.0,167.64,XL
63.0,27.0,165.1,M
79.0,44.0,165.1,XL
53.0,25.0,162.56,S
75.0,29.0,167.64,XL
53.0,27.0,160.02,M
64.0,29.0,167.64,L
52.0,29.0,157.48,S
47.0,31.0,162.56,S
52.0,29.0,157.48,M
56.0,31.0,157.48,M
58.0,32.0,175.26,M
78.0,25.0,180.34,XL
71.0,30.0,172.72,L
70.0,26.0,165.1,L
58.0,32.0,167.64,M
69.0,36.0,167.64,L
49.0,33.0,157.48,S
57.0,34.0,162.56,M
77.0,40.0,170.18,XL
75.0,38.0,172.72,XL
69.0,24.0,165.1,XL
70.0,34.0,170.18,L
54.0,35.0,160.02,S
56.0,36.0,165.1,M
54.0,30.0,162.56,S
76.0,32.0,172.72,XL
71.0,33.0,172.72,L
